ID,Nome,Tipo
152,Floor:15cm - Concreto:855021,IfcSlab
206,Floor:15cm - Concreto:855203,IfcSlab
237,Floor:Porcelanato Cinza:855387,IfcSlab
297,Floor:Deck:855414,IfcSlab
370,Basic Wall:15cm - Pintura Branca / Pintura Branca:855571,IfcWallStandardCase
383,Basic Wall:15cm - Pintura Branca / Pintura Branca:855571,IfcOpeningElement
473,Basic Wall:15cm - Pintura Branca / Pintura Branca:855886,IfcWallStandardCase
586,Basic Wall:15cm - Pintura Branca / Pintura Branca:856164,IfcWall
623,Basic Wall:15cm - Pintura Branca / Pintura Branca:856232,IfcWallStandardCase
698,Basic Wall:15cm - Pintura Branca / Pintura Branca:856343,IfcWall
824,Basic Wall:15cm - Pintura Branca / Pintura Branca:856488,IfcWall
909,Basic Wall:15cm - Pintura Branca / Pintura Branca:856590,IfcWall
1018,Basic Wall:15cm - Pintura Branca / Pintura Branca:856666,IfcWall
1176,Basic Wall:15cm - Pintura Branca / Pintura Branca:856761,IfcWall
1250,Basic Wall:15cm - Pintura Branca / Pintura Branca:856966,IfcWall
1391,Basic Wall:15cm - Pintura Branca / Pintura Branca:857006,IfcWall
1464,Basic Wall:15cm - Pintura Branca / Pintura Branca:857113,IfcWallStandardCase
1515,Basic Wall:15cm - Pintura Branca / Pintura Branca:857270,IfcWallStandardCase
1562,Basic Wall:15cm - Pintura Branca / Pintura Branca:857356,IfcWallStandardCase
1659,Basic Wall:15cm - Pintura Branca / Pintura Branca:857470,IfcWall
1720,Basic Wall:15cm - Pintura Branca / Pintura Branca:857753,IfcWallStandardCase
1768,Basic Wall:15cm - Pintura Branca / Pintura Branca:858010,IfcWallStandardCase
1841,Basic Wall:15cm - Pintura Branca / Pintura Branca:858234,IfcWall
1914,Basic Wall:15cm - Pintura Branca / Pintura Branca:858356,IfcWall
1965,Basic Wall:15cm - Pintura Branca / Pintura Branca:858445,IfcWallStandardCase
2012,Basic Wall:15cm - Pintura Branca / Pintura Branca:858517,IfcWallStandardCase
2072,Basic Wall:15cm - Pintura Branca / Pintura Branca:858692,IfcWallStandardCase
2124,Basic Wall:15cm - Pintura Branca / Pintura Branca:858828,IfcWallStandardCase
2172,Basic Wall:15cm - Pintura Branca / Pintura Branca:858928,IfcWallStandardCase
2282,Basic Wall:15cm - Pintura Branca / Pintura Branca:859037,IfcWall
2392,Basic Wall:15cm - Pintura Branca / Pintura Branca:859637,IfcWall
2459,Basic Wall:15cm - Pintura Branca / Pintura Branca:859761,IfcWallStandardCase
2562,Basic Wall:15cm - Pintura Branca / Pintura Branca:860010,IfcWall
2613,Basic Wall:15cm - Pintura Branca / Pintura Branca:860192,IfcWallStandardCase
2661,Basic Wall:15cm - Pintura Branca / Pintura Branca:860348,IfcWallStandardCase
2799,Basic Wall:15cm - Pintura Branca / Pintura Branca:860500,IfcWall
