ID,Nome,Tipo,GlobalId,Descrição,Modelo,Unidade de Medida
152,Floor:15cm - Concreto:855021,IfcSlab,08X7FEtxr2LP6EenATkVf_,,Floor:15cm - Concreto,FLOOR
206,Floor:15cm - Concreto:855203,IfcSlab,08X7FEtxr2LP6EenATkVqm,,Floor:15cm - Concreto,FLOOR
237,Floor:Porcelanato Cinza:855387,IfcSlab,08X7FEtxr2LP6EenATkVp8,,Floor:Porcelanato Cinza,FLOOR
297,Floor:Deck:855414,IfcSlab,08X7FEtxr2LP6EenATkVpb,,Floor:Deck,FLOOR
370,Basic Wall:15cm - Pintura Branca / Pintura Branca:855571,IfcWallStandardCase,08X7FEtxr2LP6EenATkV_0,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
383,Basic Wall:15cm - Pintura Branca / Pintura Branca:855571,IfcOpeningElement,1uon7P6lbAjX7bMHIuMaIe,,Opening,N/A
473,Basic Wall:15cm - Pintura Branca / Pintura Branca:855886,IfcWallStandardCase,08X7FEtxr2LP6EenATkVxT,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
586,Basic Wall:15cm - Pintura Branca / Pintura Branca:856164,IfcWall,08X7FEtxr2LP6EenATkU7t,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
623,Basic Wall:15cm - Pintura Branca / Pintura Branca:856232,IfcWallStandardCase,08X7FEtxr2LP6EenATkU4x,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
698,Basic Wall:15cm - Pintura Branca / Pintura Branca:856343,IfcWall,08X7FEtxr2LP6EenATkU24,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
824,Basic Wall:15cm - Pintura Branca / Pintura Branca:856488,IfcWall,08X7FEtxr2LP6EenATkU0x,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
909,Basic Wall:15cm - Pintura Branca / Pintura Branca:856590,IfcWall,08X7FEtxr2LP6EenATkUET,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
1018,Basic Wall:15cm - Pintura Branca / Pintura Branca:856666,IfcWall,08X7FEtxr2LP6EenATkUF9,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
1176,Basic Wall:15cm - Pintura Branca / Pintura Branca:856761,IfcWall,08X7FEtxr2LP6EenATkUCg,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
1250,Basic Wall:15cm - Pintura Branca / Pintura Branca:856966,IfcWall,08X7FEtxr2LP6EenATkU8L,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
1391,Basic Wall:15cm - Pintura Branca / Pintura Branca:857006,IfcWall,08X7FEtxr2LP6EenATkU8z,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
1464,Basic Wall:15cm - Pintura Branca / Pintura Branca:857113,IfcWallStandardCase,08X7FEtxr2LP6EenATkUMA,,Basic Wall:15cm - Pintura Branca / Pintura Branca,N/A
